#Name, Ref_x[mm], Ref_y[mm], x[m], y[m], Mac_2.4G, Mac_5G, scale(mm_to_m)
1F_1,1642.5,802.7,1.512,-9.478,d0:15:a6:c2:8c:72,d0:15:a6:c2:8c:62,0.0792
1F_2,1857.5,802.7,-3.69,-9.292,d0:15:a6:c3:2b:22,d0:15:a6:c3:2b:42,0.0792
1F_3,1857.5,328.3,-6.978,1.05,d0:15:a6:c2:ef:82,d0:15:a6:c2:ef:92,0.0792
1F_4,1857.5,288.9,-7.979,11,d0:15:a6:c2:ef:b2,d0:15:a6:c2:ef:d2,0.0792
1F_5,1857.5,328.3,-2.79,14.65,d0:15:a6:c2:f4:62,d0:15:a6:c2:f4:72,0.0792
1F_6,1510.1,325.3,2.394,9.213,d0:15:a6:c0:fd:52,d0:15:a6:c0:fd:62,0.0792
1F_7,945.7,354.3,21.697,4.376,d0:15:a6:c2:86:c2,d0:15:a6:c2:86:e2,0.0792
1F_8,1366.7,354.3,-4.097,10.091,d0:15:a6:c3:16:c2,d0:15:a6:c3:16:e2,0.0792
1F_9,1463.8,460.9,-4.61,14.913,d0:15:a6:c1:fe:62,d0:15:a6:c1:fe:82,0.0792
1F_10,1288.5,890.1,0.765,-4.3,d0:15:a6:c1:b6:62,d0:15:a6:c1:b6:82,0.0792
1F_11,1423.2,1279,-5.445,-8.33,d0:15:a6:c1:3e:c2,d0:15:a6:c1:3e:d2,0.0792
1F_12,1141.7,999.6,1.526,10.762,d0:15:a6:c3:0d:52,d0:15:a6:c3:0d:72,0.0792
1F_13,912.4,976.8,-3.244,11.97,d0:15:a6:c3:15:32,d0:15:a6:c3:15:52,0.0792
1F_14,630.9,1279,6.08,-11.97,d0:15:a6:c2:58:c2,d0:15:a6:c2:58:d2,0.0792
1F_15,937.3,968.8,0,-2.848,d0:15:a6:c1:15:e2,d0:15:a6:c1:15:f2,0.0792
1F_16,941.9,796.7,5.223,-8.418,d0:15:a6:c2:fd:c2,d0:15:a6:c2:fd:d2,0.0792
1F_17,910.4,351.5,7.663,8.754,d0:15:a6:c1:e8:e2,d0:15:a6:c1:e8:02,0.0792
